Date,Series,Value
2019-11-28,Average Tone,-2.6564
2019-11-29,Average Tone,-1.7873
2019-11-30,Average Tone,-2.6601
2019-12-01,Average Tone,-2.5158
2019-12-02,Average Tone,-2.3338
2019-12-03,Average Tone,-1.7745
2019-12-04,Average Tone,-2.3198
2019-12-05,Average Tone,-2.224
2019-12-06,Average Tone,-1.5299
2019-12-07,Average Tone,-2.1048
2019-12-08,Average Tone,-2.1274
2019-12-09,Average Tone,-1.7405
2019-12-10,Average Tone,-1.9311
2019-12-11,Average Tone,-2.2314
2019-12-12,Average Tone,-2.3667
2019-12-13,Average Tone,-2.2074
2019-12-14,Average Tone,-1.9925
2019-12-15,Average Tone,-1.7385
2019-12-16,Average Tone,-2.6737
2019-12-17,Average Tone,-2.506
2019-12-18,Average Tone,-1.6179
2019-12-19,Average Tone,-2.999
2019-12-20,Average Tone,-2.2668
2019-12-21,Average Tone,-1.8913
2019-12-22,Average Tone,-2.5808
2019-12-23,Average Tone,-2.6183
2019-12-24,Average Tone,-1.5555
2019-12-25,Average Tone,-2.1787
2019-12-26,Average Tone,-3.8155
2019-12-27,Average Tone,-3.6726
2019-12-28,Average Tone,-2.5592
2019-12-29,Average Tone,-0.8834
2019-12-30,Average Tone,-2.2986
2019-12-31,Average Tone,-2.0283
2020-01-01,Average Tone,-1.341
2020-01-02,Average Tone,-1.8202
2020-01-03,Average Tone,-3.8734
2020-01-04,Average Tone,-2.2126
2020-01-05,Average Tone,-2.8764
2020-01-06,Average Tone,-3.3237
2020-01-07,Average Tone,-3.1699
2020-01-08,Average Tone,-2.604
2020-01-09,Average Tone,-1.8976
2020-01-10,Average Tone,-1.9294
2020-01-11,Average Tone,-2.0696
2020-01-12,Average Tone,-0.8488
2020-01-13,Average Tone,-3.3021
2020-01-14,Average Tone,-2.6283
2020-01-15,Average Tone,-2.389
2020-01-16,Average Tone,-3.7514
2020-01-17,Average Tone,-2.9108
2020-01-18,Average Tone,-2.6964
2020-01-19,Average Tone,-2.1278
2020-01-20,Average Tone,-1.8642
2020-01-21,Average Tone,-1.8485
2020-01-22,Average Tone,-2.5379
2020-01-23,Average Tone,-2.884
2020-01-24,Average Tone,-2.3286
2020-01-25,Average Tone,-1.4653
2020-01-26,Average Tone,-2.4339
2020-01-27,Average Tone,-2.4001
2020-01-28,Average Tone,-2.061
2020-01-29,Average Tone,-2.6266
2020-01-30,Average Tone,-2.3356
2020-01-31,Average Tone,-2.0588
2020-02-01,Average Tone,-2.5193
2020-02-02,Average Tone,-1.6075
2020-02-03,Average Tone,-1.9534
2020-02-04,Average Tone,-2.6464
2020-02-05,Average Tone,-2.7052
2020-02-06,Average Tone,-2.9905
2020-02-07,Average Tone,-3.6816
2020-02-08,Average Tone,-3.9915
2020-02-09,Average Tone,-2.8123
2020-02-10,Average Tone,-2.9417
2020-02-11,Average Tone,-2.8752
2020-02-12,Average Tone,-3.1921
2020-02-13,Average Tone,-4.0036
2020-02-14,Average Tone,-2.7812
2020-02-15,Average Tone,-2.2363
2020-02-16,Average Tone,-1.6213
2020-02-17,Average Tone,-1.9903
2020-02-18,Average Tone,-3.1694
2020-02-19,Average Tone,-2.4839
2020-02-20,Average Tone,-2.6542
2020-02-21,Average Tone,-3.2588
2020-02-22,Average Tone,-4.2942
2020-02-23,Average Tone,-2.0748
2020-02-24,Average Tone,-4.7225
2020-02-25,Average Tone,-2.3005
2020-02-26,Average Tone,-2.2082
2020-02-27,Average Tone,-3.2579
2020-02-28,Average Tone,-2.7907
2020-02-29,Average Tone,-1.5948
2020-03-01,Average Tone,-2.291
2020-03-02,Average Tone,-2.4211
2020-03-03,Average Tone,-2.1478
2020-03-04,Average Tone,-2.2712
2020-03-05,Average Tone,-4.2505
2020-03-06,Average Tone,-2.8049
2020-03-07,Average Tone,-2.343
2020-03-08,Average Tone,-3.4836
2020-03-09,Average Tone,-2.7866
2020-03-10,Average Tone,-1.6831
2020-03-11,Average Tone,-3.2735
2020-03-12,Average Tone,-3.4135
2020-03-13,Average Tone,-2.6097
2020-03-14,Average Tone,-1.5891
2020-03-15,Average Tone,-2.5826
2020-03-16,Average Tone,-1.7399
2020-03-17,Average Tone,-1.7806
2020-03-18,Average Tone,-2.2323
2020-03-19,Average Tone,-3.1357
2020-03-20,Average Tone,-3.9203
2020-03-21,Average Tone,-1.8308
2020-03-22,Average Tone,-2.7775
2020-03-23,Average Tone,-3.0916
2020-03-24,Average Tone,-2.5501
2020-03-25,Average Tone,-2.27
2020-03-26,Average Tone,-2.9438
2020-03-27,Average Tone,-2.603
2020-03-28,Average Tone,-1.3091
2020-03-29,Average Tone,-2.8605
2020-03-30,Average Tone,-2.4679
2020-03-31,Average Tone,-1.635
2020-04-01,Average Tone,-3.9519
2020-04-02,Average Tone,-2.8305
2020-04-03,Average Tone,-1.6657
2020-04-04,Average Tone,-1.3634
2020-04-05,Average Tone,-3.1354
2020-04-06,Average Tone,-2.973
2020-04-07,Average Tone,-1.8291
2020-04-08,Average Tone,-3.6228
2020-04-09,Average Tone,-4.0011
2020-04-10,Average Tone,-2.8842
2020-04-11,Average Tone,-2.0426
2020-04-12,Average Tone,-3.0296
2020-04-13,Average Tone,-3.0175
2020-04-14,Average Tone,-3.4509
2020-04-15,Average Tone,-2.9492
2020-04-16,Average Tone,-3.38
2020-04-17,Average Tone,-1.3957
2020-04-18,Average Tone,-2.0353
2020-04-19,Average Tone,-3.0151
2020-04-20,Average Tone,-2.3908
2020-04-21,Average Tone,-3.1036
2020-04-22,Average Tone,-2.1999
2020-04-23,Average Tone,-2.9093
2020-04-24,Average Tone,-2.529
2020-04-25,Average Tone,-4.1945
2020-04-26,Average Tone,-1.4511
2020-04-27,Average Tone,-4.2604
2020-04-28,Average Tone,-2.3756
2020-04-29,Average Tone,-2.6573
2020-04-30,Average Tone,-3.239
2020-05-01,Average Tone,-3.2418
2020-05-02,Average Tone,-3.0083
2020-05-03,Average Tone,-1.0586
2020-05-04,Average Tone,-2.6165
2020-05-05,Average Tone,-2.2928
2020-05-06,Average Tone,-1.9985
2020-05-07,Average Tone,-1.8651
2020-05-08,Average Tone,-2.7597
2020-05-09,Average Tone,-1.8039
2020-05-10,Average Tone,-3.0884
2020-05-11,Average Tone,-2.8829
2020-05-12,Average Tone,-3.0005
2020-05-13,Average Tone,-3.1451
2020-05-14,Average Tone,-3.2595
2020-05-15,Average Tone,-2.7924
2020-05-16,Average Tone,-2.3176
2020-05-17,Average Tone,-1.9748
2020-05-18,Average Tone,-2.8528
2020-05-19,Average Tone,-2.7534
2020-05-20,Average Tone,-2.5076
2020-05-21,Average Tone,-2.8676
2020-05-22,Average Tone,-2.0217
2020-05-23,Average Tone,-0.6177
2020-05-24,Average Tone,-2.3386
2020-05-25,Average Tone,-3.605
2020-05-26,Average Tone,-2.1981
2020-05-27,Average Tone,-4.0349
2020-05-28,Average Tone,-2.8558
2020-05-29,Average Tone,-3.2189
2020-05-30,Average Tone,-3.2894
2020-05-31,Average Tone,-4.0212
2020-06-01,Average Tone,-3.6179
2020-06-02,Average Tone,-3.1086
2020-06-03,Average Tone,-3.4244
2020-06-04,Average Tone,-3.7624
2020-06-05,Average Tone,-3.0589
2020-06-06,Average Tone,-3.3214
2020-06-07,Average Tone,-2.8719
2020-06-08,Average Tone,-3.1665
2020-06-09,Average Tone,-3.0897
2020-06-10,Average Tone,-2.2378
2020-06-11,Average Tone,-3.1734
2020-06-12,Average Tone,-2.8361
2020-06-13,Average Tone,-3.6623
2020-06-14,Average Tone,-3.2431
2020-06-15,Average Tone,-3.5814
2020-06-16,Average Tone,-2.5444
2020-06-17,Average Tone,-2.0451
2020-06-18,Average Tone,-3.0781
2020-06-19,Average Tone,-2.6897
2020-06-20,Average Tone,-3.3512
2020-06-21,Average Tone,-3.6486
2020-06-22,Average Tone,-2.5441
2020-06-23,Average Tone,-2.7896
2020-06-24,Average Tone,-3.7144
2020-06-25,Average Tone,-3.9452
2020-06-26,Average Tone,-3.4226
2020-06-27,Average Tone,-3.2222
2020-06-28,Average Tone,-1.992
2020-06-29,Average Tone,-3.0588
2020-06-30,Average Tone,-3.0696
2020-07-01,Average Tone,-2.7953
2020-07-02,Average Tone,-2.6919
2020-07-03,Average Tone,-3.7978
2020-07-04,Average Tone,-2.2774
2020-07-05,Average Tone,-2.4347
2020-07-06,Average Tone,-3.1201
2020-07-07,Average Tone,-2.3106
2020-07-08,Average Tone,-3.249
2020-07-09,Average Tone,-2.7367
2020-07-10,Average Tone,-2.813
2020-07-11,Average Tone,-2.8934
2020-07-12,Average Tone,-2.1068
2020-07-13,Average Tone,-2.5919
2020-07-14,Average Tone,-2.5874
2020-07-15,Average Tone,-2.9283
2020-07-16,Average Tone,-2.7893
2020-07-17,Average Tone,-2.604
2020-07-18,Average Tone,-2.9286
2020-07-19,Average Tone,-2.2685
2020-07-20,Average Tone,-2.7045
2020-07-21,Average Tone,-2.8396
2020-07-22,Average Tone,-3.0549
2020-07-23,Average Tone,-2.9856
2020-07-24,Average Tone,-2.817
2020-07-25,Average Tone,-4.9629
2020-07-26,Average Tone,-2.6095
2020-07-27,Average Tone,-2.7373
2020-07-28,Average Tone,-2.7231
2020-07-29,Average Tone,-2.6877
2020-07-30,Average Tone,-2.739
2020-07-31,Average Tone,-2.2165
2020-08-01,Average Tone,-2.9687
2020-08-02,Average Tone,-2.716
2020-08-03,Average Tone,-1.8018
2020-08-04,Average Tone,-2.5528
2020-08-05,Average Tone,-3.0399
2020-08-06,Average Tone,-2.1034
2020-08-07,Average Tone,-2.2794
2020-08-08,Average Tone,-2.1999
2020-08-09,Average Tone,-2.7895
