Date,Series,Value
2022-02-22,Average Tone,-1.1053
2022-02-23,Average Tone,-2.4818
2022-02-24,Average Tone,-2.0383
2022-02-25,Average Tone,-2.5804
2022-02-26,Average Tone,-3.1179
2022-02-27,Average Tone,-2.6038
2022-02-28,Average Tone,-2.7026
2022-03-01,Average Tone,-3.8577
2022-03-02,Average Tone,-3.428
2022-03-03,Average Tone,-2.9366
2022-03-04,Average Tone,-2.564
2022-03-05,Average Tone,-3.0802
2022-03-06,Average Tone,-2.2944
2022-03-07,Average Tone,-3.0347
2022-03-08,Average Tone,-4.0189
2022-03-09,Average Tone,-2.8248
2022-03-10,Average Tone,-2.9095
2022-03-11,Average Tone,-2.8675
2022-03-12,Average Tone,-3.5067
2022-03-13,Average Tone,-2.3784
2022-03-14,Average Tone,-3.2341
2022-03-15,Average Tone,-2.9465
2022-03-16,Average Tone,-2.5161
2022-03-17,Average Tone,-2.6548
2022-03-18,Average Tone,-2.6401
2022-03-19,Average Tone,-2.7297
2022-03-20,Average Tone,-1.8732
2022-03-21,Average Tone,-2.4181
2022-03-22,Average Tone,-2.9946
2022-03-23,Average Tone,-3.2938
2022-03-24,Average Tone,-3.3516
2022-03-25,Average Tone,-3.5891
2022-03-26,Average Tone,-3.7397
2022-03-27,Average Tone,-1.8556
2022-03-28,Average Tone,-2.0838
2022-03-29,Average Tone,-2.1261
2022-03-30,Average Tone,-1.9191
2022-03-31,Average Tone,-2.5613
2022-04-01,Average Tone,-3.1681
2022-04-02,Average Tone,-3.1145
2022-04-03,Average Tone,-1.9056
