Date,Series,Value
2020-01-28,Average Tone,-2.7426
2020-01-29,Average Tone,-3.2892
2020-01-30,Average Tone,-2.9097
2020-01-31,Average Tone,-2.3077
2020-02-01,Average Tone,-2.5211
2020-02-02,Average Tone,-1.5679
2020-02-03,Average Tone,-2.2338
2020-02-04,Average Tone,-3.4986
2020-02-05,Average Tone,-2.5757
2020-02-06,Average Tone,-2.1829
2020-02-07,Average Tone,-2.966
2020-02-08,Average Tone,-3.3898
2020-02-09,Average Tone,-2.4618
2020-02-10,Average Tone,-2.8794
2020-02-11,Average Tone,-1.9443
2020-02-12,Average Tone,-2.3217
2020-02-13,Average Tone,-3.2969
2020-02-14,Average Tone,-1.8064
2020-02-15,Average Tone,-2.4908
2020-02-16,Average Tone,-3.2992
2020-02-17,Average Tone,-2.6941
2020-02-18,Average Tone,-3.0585
2020-02-19,Average Tone,-3.462
2020-02-20,Average Tone,-3.1459
2020-02-21,Average Tone,-3.7811
2020-02-22,Average Tone,-6.2071
2020-02-23,Average Tone,-2.1757
2020-02-24,Average Tone,-3.8555
2020-02-25,Average Tone,-3.3863
2020-02-26,Average Tone,-2.7725
2020-02-27,Average Tone,-2.9945
2020-02-28,Average Tone,-2.1568
2020-02-29,Average Tone,-2.664
2020-03-01,Average Tone,-2.1623
2020-03-02,Average Tone,-2.7348
2020-03-03,Average Tone,-2.221
2020-03-04,Average Tone,-3.2983
2020-03-05,Average Tone,-2.202
2020-03-06,Average Tone,-1.6478
2020-03-07,Average Tone,-2.3585
2020-03-08,Average Tone,-3.627
2020-03-09,Average Tone,-2.7089
2020-03-10,Average Tone,-2.3997
2020-03-11,Average Tone,-3.5464
2020-03-12,Average Tone,-2.1967
2020-03-13,Average Tone,-2.5268
2020-03-14,Average Tone,-2.3701
2020-03-15,Average Tone,-1.8365
2020-03-16,Average Tone,-1.8001
2020-03-17,Average Tone,-2.4856
2020-03-18,Average Tone,-2.3404
2020-03-19,Average Tone,-2.575
2020-03-20,Average Tone,-2.5144
2020-03-21,Average Tone,-3.4533
2020-03-22,Average Tone,-3.2154
2020-03-23,Average Tone,-2.7987
2020-03-24,Average Tone,-3.4801
2020-03-25,Average Tone,-4.2979
2020-03-26,Average Tone,-2.7592
2020-03-27,Average Tone,-3.9261
2020-03-28,Average Tone,-2.5454
2020-03-29,Average Tone,-3.7072
2020-03-30,Average Tone,-2.3037
2020-03-31,Average Tone,-2.2435
2020-04-01,Average Tone,-4.5436
2020-04-02,Average Tone,-5.2587
2020-04-03,Average Tone,-3.9729
2020-04-04,Average Tone,-3.4964
2020-04-05,Average Tone,-3.9262
2020-04-06,Average Tone,-2.3517
2020-04-07,Average Tone,-1.5627
2020-04-08,Average Tone,-3.4766
2020-04-09,Average Tone,-3.0827
2020-04-10,Average Tone,-3.0287
2020-04-11,Average Tone,-3.092
2020-04-12,Average Tone,-2.6483
2020-04-13,Average Tone,-3.091
2020-04-14,Average Tone,-3.4042
2020-04-15,Average Tone,-3.4119
2020-04-16,Average Tone,-2.9451
2020-04-17,Average Tone,-2.8818
2020-04-18,Average Tone,-2.9261
2020-04-19,Average Tone,-2.5061
2020-04-20,Average Tone,-2.8711
2020-04-21,Average Tone,-2.9406
2020-04-22,Average Tone,-2.6208
2020-04-23,Average Tone,-2.2003
2020-04-24,Average Tone,-3.7024
2020-04-25,Average Tone,-3.0981
2020-04-26,Average Tone,-1.8084
2020-04-27,Average Tone,-3.4266
2020-04-28,Average Tone,-3.1749
2020-04-29,Average Tone,-2.9247
2020-04-30,Average Tone,-1.9913
2020-05-01,Average Tone,-2.6043
2020-05-02,Average Tone,-2.2372
2020-05-03,Average Tone,-2.8695
2020-05-04,Average Tone,-2.8607
2020-05-05,Average Tone,-2.1345
2020-05-06,Average Tone,-1.5882
2020-05-07,Average Tone,-1.9554
2020-05-08,Average Tone,-4.0623
2020-05-09,Average Tone,-3.04
2020-05-10,Average Tone,-3.3994
2020-05-11,Average Tone,-2.1287
2020-05-12,Average Tone,-2.6831
2020-05-13,Average Tone,-3.1197
2020-05-14,Average Tone,-3.2935
2020-05-15,Average Tone,-2.856
2020-05-16,Average Tone,-2.4746
2020-05-17,Average Tone,-2.1465
2020-05-18,Average Tone,-2.2953
2020-05-19,Average Tone,-2.953
2020-05-20,Average Tone,-2.6278
2020-05-21,Average Tone,-3.1094
2020-05-22,Average Tone,-2.25
2020-05-23,Average Tone,-1.7506
2020-05-24,Average Tone,-2.2629
2020-05-25,Average Tone,-4.1248
2020-05-26,Average Tone,-2.7045
2020-05-27,Average Tone,-3.4151
2020-05-28,Average Tone,-3.0107
2020-05-29,Average Tone,-2.9881
2020-05-30,Average Tone,-5.2622
2020-05-31,Average Tone,-6.2872
2020-06-01,Average Tone,-5.1744
2020-06-02,Average Tone,-3.6179
2020-06-03,Average Tone,-4.4422
2020-06-04,Average Tone,-5.0219
2020-06-05,Average Tone,-4.2337
2020-06-06,Average Tone,-3.8085
2020-06-07,Average Tone,-3.5635
2020-06-08,Average Tone,-3.7831
2020-06-09,Average Tone,-4.7366
2020-06-10,Average Tone,-3.5981
2020-06-11,Average Tone,-3.2583
2020-06-12,Average Tone,-3.5455
2020-06-13,Average Tone,-3.5593
2020-06-14,Average Tone,-2.6763
2020-06-15,Average Tone,-3.0051
2020-06-16,Average Tone,-4.2502
2020-06-17,Average Tone,-2.3371
2020-06-18,Average Tone,-3.2181
2020-06-19,Average Tone,-1.7997
2020-06-20,Average Tone,-4.2211
2020-06-21,Average Tone,-3.9945
2020-06-22,Average Tone,-3.1788
2020-06-23,Average Tone,-3.1023
2020-06-24,Average Tone,-3.6771
2020-06-25,Average Tone,-3.2631
2020-06-26,Average Tone,-2.8038
2020-06-27,Average Tone,-3.2918
2020-06-28,Average Tone,-2.6196
2020-06-29,Average Tone,-3.7616
2020-06-30,Average Tone,-3.4776
2020-07-01,Average Tone,-3.2878
2020-07-02,Average Tone,-3.7463
2020-07-03,Average Tone,-4.1969
2020-07-04,Average Tone,-2.6724
2020-07-05,Average Tone,-1.1864
2020-07-06,Average Tone,-3.4601
2020-07-07,Average Tone,-3.1929
2020-07-08,Average Tone,-3.2009
2020-07-09,Average Tone,-3.5727
2020-07-10,Average Tone,-3.2678
2020-07-11,Average Tone,-2.6059
2020-07-12,Average Tone,-3.1984
2020-07-13,Average Tone,-2.6728
2020-07-14,Average Tone,-3.9289
2020-07-15,Average Tone,-3.1253
2020-07-16,Average Tone,-3.0656
2020-07-17,Average Tone,-3.3636
2020-07-18,Average Tone,-2.9816
2020-07-19,Average Tone,-3.0694
2020-07-20,Average Tone,-3.0976
2020-07-21,Average Tone,-4.5143
2020-07-22,Average Tone,-3.748
2020-07-23,Average Tone,-4.5474
2020-07-24,Average Tone,-4.4328
2020-07-25,Average Tone,-6.1234
2020-07-26,Average Tone,-4.8058
2020-07-27,Average Tone,-3.5298
2020-07-28,Average Tone,-3.5644
2020-07-29,Average Tone,-3.7001
2020-07-30,Average Tone,-3.1817
2020-07-31,Average Tone,-2.8128
2020-08-01,Average Tone,-2.9806
2020-08-02,Average Tone,-3.1093
2020-08-03,Average Tone,-3.1305
2020-08-04,Average Tone,-3.7591
2020-08-05,Average Tone,-3.2266
2020-08-06,Average Tone,-2.3044
2020-08-07,Average Tone,-2.7796
2020-08-08,Average Tone,-2.5474
2020-08-09,Average Tone,-2.7587
2020-08-10,Average Tone,-2.9484
2020-08-11,Average Tone,-3.4881
2020-08-12,Average Tone,-3.9653
2020-08-13,Average Tone,-3.2861
2020-08-14,Average Tone,-2.5954
2020-08-15,Average Tone,-3.239
2020-08-16,Average Tone,-2.9769
2020-08-17,Average Tone,-2.4653
2020-08-18,Average Tone,-2.1711
2020-08-19,Average Tone,-1.6862
2020-08-20,Average Tone,-1.3806
2020-08-21,Average Tone,-2.511
2020-08-22,Average Tone,-1.0178
2020-08-23,Average Tone,-5.3826
2020-08-24,Average Tone,-3.5219
2020-08-25,Average Tone,-1.5198
2020-08-26,Average Tone,-2.1012
2020-08-27,Average Tone,-2.7413
2020-08-28,Average Tone,-3.0883
2020-08-29,Average Tone,-4.7244
2020-08-30,Average Tone,-3.6466
2020-08-31,Average Tone,-4.0735
2020-09-01,Average Tone,-3.9713
2020-09-02,Average Tone,-4.1116
2020-09-03,Average Tone,-3.3524
2020-09-04,Average Tone,-3.6064
2020-09-05,Average Tone,-4.9792
2020-09-06,Average Tone,-4.6844
2020-09-07,Average Tone,-4.4194
2020-09-08,Average Tone,-4.107
2020-09-09,Average Tone,-3.5231
2020-09-10,Average Tone,-3.2259
2020-09-11,Average Tone,-3.0914
2020-09-12,Average Tone,-3.1033
2020-09-13,Average Tone,-0.2928
2020-09-14,Average Tone,-2.5071
2020-09-15,Average Tone,-2.8134
2020-09-16,Average Tone,-2.2324
2020-09-17,Average Tone,-2.6296
2020-09-18,Average Tone,-3.1355
2020-09-19,Average Tone,-3.0514
2020-09-20,Average Tone,-2.3845
2020-09-21,Average Tone,-2.9326
2020-09-22,Average Tone,-1.462
2020-09-23,Average Tone,-3.18
2020-09-24,Average Tone,-2.978
2020-09-25,Average Tone,-4.1326
2020-09-26,Average Tone,-4.0339
2020-09-27,Average Tone,-5.2747
2020-09-28,Average Tone,-3.8112
2020-09-29,Average Tone,-2.7837
2020-09-30,Average Tone,-2.4447
2020-10-01,Average Tone,-2.3104
2020-10-02,Average Tone,-3.2874
2020-10-03,Average Tone,-2.3439
2020-10-04,Average Tone,-2.942
2020-10-05,Average Tone,-4.4587
2020-10-06,Average Tone,-2.1647
2020-10-07,Average Tone,-2.08
2020-10-08,Average Tone,-2.4041
2020-10-09,Average Tone,-2.4664
2020-10-10,Average Tone,-2.3038
2020-10-11,Average Tone,-3.2883
2020-10-12,Average Tone,-2.7889
2020-10-13,Average Tone,-2.1177
2020-10-14,Average Tone,-3.4268
2020-10-15,Average Tone,-2.49
2020-10-16,Average Tone,-1.6071
2020-10-17,Average Tone,-4.2119
2020-10-18,Average Tone,-3.1152
2020-10-19,Average Tone,-3.2863
2020-10-21,Average Tone,-2.419
2020-10-22,Average Tone,-2.4938
2020-10-23,Average Tone,-3.0409
2020-10-24,Average Tone,-2.6067
2020-10-25,Average Tone,-3.3943
2020-10-26,Average Tone,-3.832
2020-10-27,Average Tone,-3.1834
2020-10-28,Average Tone,-4.1461
2020-10-29,Average Tone,-6.6111
2020-10-30,Average Tone,-4.3053
2020-10-31,Average Tone,-2.727
2020-11-01,Average Tone,-3.0012
2020-11-02,Average Tone,-3.5449
2020-11-03,Average Tone,-3.3978
2020-11-04,Average Tone,-2.3224
2020-11-05,Average Tone,-2.7201
2020-11-06,Average Tone,-3.2145
2020-11-07,Average Tone,-3.0603
2020-11-08,Average Tone,-3.5573
2020-11-09,Average Tone,-2.2427
2020-11-10,Average Tone,-4.3916
2020-11-11,Average Tone,-4.9802
2020-11-12,Average Tone,-3.4904
2020-11-13,Average Tone,-2.214
2020-11-14,Average Tone,-1.9569
2020-11-15,Average Tone,-2.6639
2020-11-16,Average Tone,-1.5766
2020-11-17,Average Tone,-2.1069
2020-11-18,Average Tone,-2.6532
2020-11-19,Average Tone,-3.0412
2020-11-20,Average Tone,-2.5679
2020-11-21,Average Tone,-2.6747
2020-11-22,Average Tone,-4.8475
2020-11-23,Average Tone,-2.5198
2020-11-24,Average Tone,-2.0908
2020-11-25,Average Tone,-3.1603
2020-11-26,Average Tone,-2.5944
2020-11-27,Average Tone,-2.319
2020-11-28,Average Tone,-4.1034
2020-11-29,Average Tone,-1.9318
2020-11-30,Average Tone,-1.8265
2020-12-01,Average Tone,-2.8076
2020-12-02,Average Tone,-2.7274
2020-12-03,Average Tone,-3.1371
2020-12-04,Average Tone,-3.8013
2020-12-05,Average Tone,-4.1417
2020-12-06,Average Tone,-0.149
2020-12-07,Average Tone,-2.7802
2020-12-08,Average Tone,-4.302
2020-12-09,Average Tone,-3.2239
2020-12-10,Average Tone,-3.8829
2020-12-11,Average Tone,-2.4688
2020-12-12,Average Tone,-4.6176
2020-12-13,Average Tone,-3.0915
2020-12-14,Average Tone,-3.3363
2020-12-15,Average Tone,-1.7472
2020-12-16,Average Tone,-6.6182
2020-12-17,Average Tone,-2.7876
2020-12-18,Average Tone,-4.2042
2020-12-19,Average Tone,-3.2817
2020-12-20,Average Tone,-3.8883
2020-12-21,Average Tone,-2.4185
2020-12-22,Average Tone,-2.3302
2020-12-23,Average Tone,-2.9903
2020-12-24,Average Tone,-3.2543
2020-12-25,Average Tone,-2.8999
2020-12-26,Average Tone,-2.9184
2020-12-27,Average Tone,-3.064
2020-12-28,Average Tone,-3.3428
2020-12-29,Average Tone,-3.0474
2020-12-30,Average Tone,-3.8632
2020-12-31,Average Tone,-3.4984
2021-01-01,Average Tone,-2.639
2021-01-02,Average Tone,-2.9187
2021-01-03,Average Tone,-2.4635
2021-01-04,Average Tone,-6.8012
2021-01-05,Average Tone,-3.5915
2021-01-06,Average Tone,-3.6386
2021-01-07,Average Tone,-4.16
2021-01-08,Average Tone,-4.1576
2021-01-09,Average Tone,-4.4124
2021-01-10,Average Tone,-3.7645
2021-01-11,Average Tone,-3.2065
2021-01-12,Average Tone,-3.558
2021-01-13,Average Tone,-4.4866
2021-01-14,Average Tone,-4.5372
2021-01-15,Average Tone,-4.5261
2021-01-16,Average Tone,-3.4679
2021-01-17,Average Tone,-4.4445
2021-01-18,Average Tone,-4.3574
2021-01-19,Average Tone,-3.4753
2021-01-20,Average Tone,-2.5394
2021-01-21,Average Tone,-3.8277
2021-01-22,Average Tone,-4.3824
2021-01-23,Average Tone,-4.8576
2021-01-24,Average Tone,-4.6393
2021-01-25,Average Tone,-5.6782
2021-01-26,Average Tone,-3.9584
2021-01-27,Average Tone,-2.8373
2021-01-28,Average Tone,-2.4997
2021-01-29,Average Tone,-2.6066
2021-01-30,Average Tone,-2.5804
2021-01-31,Average Tone,-3.2545
2021-02-01,Average Tone,-3.5993
2021-02-02,Average Tone,-4.4631
2021-02-03,Average Tone,-4.8662
2021-02-04,Average Tone,-3.6762
2021-02-05,Average Tone,-4.1657
2021-02-06,Average Tone,-4.5326
2021-02-07,Average Tone,-3.7092
2021-02-08,Average Tone,-4.0234
2021-02-09,Average Tone,-4.8739
2021-02-10,Average Tone,-4.7689
2021-02-11,Average Tone,-4.9768
2021-02-12,Average Tone,-5.4324
2021-02-13,Average Tone,-4.95
2021-02-14,Average Tone,-5.0272
2021-02-15,Average Tone,-2.911
2021-02-16,Average Tone,-4.1898
2021-02-17,Average Tone,-5.1095
2021-02-18,Average Tone,-5.8757
2021-02-19,Average Tone,-5.5782
2021-02-20,Average Tone,-6.2686
2021-02-21,Average Tone,-6.4581
2021-02-22,Average Tone,-4.0412
2021-02-23,Average Tone,-3.2489
2021-02-24,Average Tone,-3.5469
2021-02-25,Average Tone,-3.1989
2021-02-26,Average Tone,-3.0295
2021-02-27,Average Tone,-1.8441
2021-02-28,Average Tone,-4.7291
2021-03-01,Average Tone,-3.471
2021-03-02,Average Tone,-2.4929
2021-03-03,Average Tone,-3.3549
2021-03-04,Average Tone,-2.4542
2021-03-05,Average Tone,-3.832
2021-03-06,Average Tone,-3.1959
2021-03-07,Average Tone,-2.6413
2021-03-08,Average Tone,-1.3548
2021-03-09,Average Tone,-3.6923
2021-03-10,Average Tone,-3.697
2021-03-11,Average Tone,-3.6053
2021-03-12,Average Tone,-3.484
2021-03-13,Average Tone,-3.8425
2021-03-14,Average Tone,-3.1825
2021-03-15,Average Tone,-3.5897
2021-03-16,Average Tone,-4.2868
2021-03-17,Average Tone,-5.4201
2021-03-18,Average Tone,-4.5942
2021-03-19,Average Tone,-5.364
2021-03-20,Average Tone,-4.8703
2021-03-21,Average Tone,-2.7732
2021-03-22,Average Tone,-3.63
2021-03-23,Average Tone,-3.33
2021-03-24,Average Tone,-4.8016
2021-03-25,Average Tone,-3.0608
2021-03-26,Average Tone,-3.4799
2021-03-27,Average Tone,-3.8682
2021-03-28,Average Tone,-3.3747
2021-03-29,Average Tone,-1.5536
2021-03-30,Average Tone,-2.5408
2021-03-31,Average Tone,-3.3504
2021-04-01,Average Tone,-2.6973
2021-04-02,Average Tone,-3.5936
2021-04-03,Average Tone,-1.942
2021-04-04,Average Tone,-3.3119
2021-04-05,Average Tone,-5.4108
2021-04-06,Average Tone,-3.6579
2021-04-07,Average Tone,-3.2838
2021-04-08,Average Tone,-2.5028
2021-04-09,Average Tone,-3.3315
2021-04-10,Average Tone,-3.0781
